image,page,label,color,xmin,ymin,xmax,ymax,id,text
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_2.png,3,EMAIL_ADDRESS,"(0, 0, 0)",0.448627,0.78303,0.647451,0.796061,jX2Aw5T8BrrS,akaplan@sister-cities.org
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_5.png,6,PERSON,"(0, 0, 0)",0.561569,0.825455,0.70902,0.839091,9xV59e7rNvh8,Jorge O . Zambrano
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_6.png,7,PERSON,"(0, 0, 0)",0.557647,0.215758,0.731765,0.226364,FxB4M4AYRJR0,RICHARD M . DALEY
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_6.png,7,PERSON,"(0, 0, 0)",0.563922,0.261818,0.724706,0.272424,alCI8WzIUBoX,ZHANG RONGMAO
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_6.png,7,PERSON,"(0, 0, 0)",0.623529,0.412121,0.859314,0.424545,0qz4wuc9F7WI,the Honorable Zhang Rongmao
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_6.png,7,PERSON,"(0, 0, 0)",0.200784,0.412424,0.332026,0.423939,apWfCZ3Eaxg7,Richard M . Daley
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_6.png,7,PERSON,"(0, 0, 0)",0.792157,0.820303,0.876471,0.829697,XlaCefDLNE4Y,RONGMAO
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_6.png,7,PERSON,"(0, 0, 0)",0.340392,0.822424,0.428627,0.831515,0mekFQrraB7H,RICHARD M
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_3.png,4,PERSON,"(0, 0, 0)",0.242275,0.803576,0.616157,0.821576,517a5bcfee24,Sheikh Mohammed bin Butti Al Hamed
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_3.png,4,PERSON,"(0, 0, 0)",0.726588,0.802970,0.852235,0.820667,07dfabb046a4,Lee P. Brown
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_3.png,4,HANDWRITING,"(0, 0, 0)",0.316000,0.761000,0.444000,0.809000,5ba7af732daa,signature
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,PERSON,"(0, 0, 0)",0.666000,0.872500,0.802000,0.896000,291ee01dafe5,Ken Livingston
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,HANDWRITING,"(0, 0, 0)",0.151000,0.748000,0.399000,0.868000,d1dc21e164ac,signature
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,HANDWRITING,"(0, 0, 0)",0.511000,0.744000,0.839000,0.868000,e581958202d9,signature
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_5.png,6,HANDWRITING,"(0, 0, 0)",0.416000,0.621000,0.734000,0.672000,c6baef961baa,signature
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_6.png,7,HANDWRITING,"(0, 0, 0)",0.136000,0.704000,0.504000,0.832000,eed0534ca840,signature
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_6.png,7,HANDWRITING,"(0, 0, 0)",0.496000,0.704000,0.904000,0.832000,a512279835ab,signature
/home/user/app/input/0bc7f82a/28d81c34644447cbbc348989f7e266ca_Partnership-Agreement-Toolkit_0_0.pdf_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.801000,0.778500,0.858000,0.801000,844f6095b1de,(202)
