image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.166196,0.029939,0.412627,0.064909,SisterCities,42ebaafbcfb9
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.114039,0.183576,0.208314,0.205212,Sister City,a4af247e73d2
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.130902,0.207515,0.220078,0.228848,Sister City,9d2c27715456
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.114824,0.255697,0.254588,0.27703,Sister City,c31b8454bc9c
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.410118,0.255697,0.495765,0.27703,Sister City,d192dca6ef7c
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.114431,0.296303,0.216941,0.314606,Sister City,969b61f7cae1
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.267765,0.328424,0.370275,0.34703,Sister City,b2d1c0e9d26f
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.309333,0.408121,0.41302,0.429455,Sister City,f633318b9851
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.599922,0.424485,0.702431,0.443091,Sister City,6587d7afbc47
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.171294,0.464485,0.273804,0.483091,Sister City,1dd7b76bc9f0
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.165804,0.488121,0.268314,0.506424,Sister City,07f3ffe2056c
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.537569,0.488424,0.634196,0.506727,Sister City,b3e1fcde508a
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.714039,0.536909,0.815765,0.555515,Sister City,78d912b43a9b
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.548549,0.56903,0.651059,0.587636,Sister City,a0123d183fc5
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.451294,0.690545,0.548314,0.708848,Sister City,006fa1ad6a11
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.243059,0.722364,0.345569,0.74097,Sister City,c12b7598842c
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.173647,0.827515,0.267866,0.847636,Sister City,02782ba9806d
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.535608,0.843273,0.637725,0.861879,Sister City,6826c0862e31
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.630902,0.859636,0.733412,0.877939,Sister City,52f8eda80d81
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.166196,0.029939,0.412627,0.064909,SisterCities,a07f5d6ecbe6
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.171686,0.145091,0.254588,0.166121,Sister City,2c8874e8c0fd
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.418745,0.16903,0.502039,0.190061,Sister City,f03631b66078
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.703451,0.185091,0.784863,0.206121,Sister City,23865111bf87
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.149725,0.217212,0.252235,0.235818,Sister City,15db5d11559f
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.134824,0.233879,0.218118,0.254909,Sister City,713b48ddfaf0
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.671686,0.320848,0.773804,0.339152,Sister City,2b2acb1c72c0
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.222667,0.321152,0.411843,0.342182,Sister City,be21e73836a0
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.347373,0.418121,0.430667,0.439152,Sister City,85f36c9a7c19
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.260314,0.434485,0.343608,0.455515,Sister City,9b7b489f6c7b
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.453647,0.457818,0.54949,0.479152,Sister City,f77c58dc9795
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.482275,0.714182,0.565569,0.735212,Sister City,4b62f0cfa4c4
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.166196,0.029939,0.412627,0.064909,SisterCities,00f59665e573
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.218745,0.220545,0.302039,0.241576,Sister City,d6937ed433da
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.224235,0.236606,0.307137,0.257636,Sister City,d11435b7cb8c
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.533255,0.298727,0.619294,0.319758,Sister City,4c0db8a33c20
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.563451,0.376606,0.666353,0.394909,Sister City,6037437c8c30
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.542667,0.575697,0.645176,0.594303,Sister City,faef69feafb1
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.334824,0.637212,0.41851,0.658242,Sister City,575cbcddf844
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.343843,0.669636,0.427137,0.690667,Sister City,a62f6389f966
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.801,0.7785,0.858,0.801,(202),844f6095b1de
placeholder_image_2.png,3,EMAIL_ADDRESS,"(0, 0, 0)",0.448627,0.78303,0.647451,0.796061,akaplan@sister-cities.org,jX2Aw5T8BrrS
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.111,0.7945,0.199,0.816,347-8630,3b010f3fb734
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.334431,0.390545,0.508314,0.410061,Sister City,b5e70f17177b
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.527373,0.522061,0.621647,0.539758,Sister City,7127348f4c11
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.250902,0.523273,0.334588,0.542788,Sister City,18e42b6ec94f
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.423059,0.673273,0.517725,0.69097,Sister City,436fbf193b67
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.661098,0.687212,0.745176,0.70703,Sister City,63334d98c57b
placeholder_image_3.png,4,HANDWRITING,"(0, 0, 0)",0.316,0.761,0.444,0.809,signature,5ba7af732daa
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.726588,0.80297,0.852235,0.820667,Lee P. Brown,07dfabb046a4
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.242275,0.803576,0.616157,0.821576,Sheikh Mohammed bin Butti Al Hamed,517a5bcfee24
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.166196,0.029939,0.41302,0.064909,SisterCities,7bc1d596295d
placeholder_image_4.png,5,ADDRESS,"(0, 0, 0)",0.42698,0.352364,0.576549,0.37097,CITY-LONDON,cacf131c9fb9
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.574824,0.352364,0.705961,0.370667,Sister City,b9ac18e0ea41
placeholder_image_4.png,5,ADDRESS,"(0, 0, 0)",0.648549,0.399333,0.716549,0.41703,London,784e19da250a
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.234824,0.400545,0.326353,0.420364,Sister City,8e02988a326c
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.34698,0.430242,0.437333,0.450667,Sister City,ba80f536bca4
placeholder_image_4.png,5,ADDRESS,"(0, 0, 0)",0.653255,0.477515,0.722431,0.495212,London,f4a7baefbef0
placeholder_image_4.png,5,ADDRESS,"(0, 0, 0)",0.606588,0.636909,0.674196,0.654606,London,09edc18014d3
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.319529,0.669333,0.40949,0.689758,Sister City,006ecd864b02
placeholder_image_4.png,5,ADDRESS,"(0, 0, 0)",0.196392,0.717212,0.265176,0.735212,London,fa015dae5a8f
placeholder_image_4.png,5,HANDWRITING,"(0, 0, 0)",0.511,0.744,0.839,0.868,signature,e581958202d9
