image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.114418,0.185729,0.208228,0.204719,Sister City,b724ba501826
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.131085,0.209517,0.220341,0.228507,Sister City,f4d916129b3c
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.114418,0.298002,0.217175,0.316992,Sister Cities,c63095840109
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.267894,0.330464,0.37047,0.349454,Sister Cities,c85aca2484c0
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.600304,0.426525,0.703061,0.445514,Sister Cities,79ad624a11c1
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.17144,0.466525,0.274017,0.485514,Sister Cities,fa57451fb922
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.16598,0.490312,0.268738,0.509302,Sister Cities,50473061b955
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.538003,0.490312,0.634717,0.509302,Sister Cities,4b2cafa0032d
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.713921,0.538974,0.816498,0.557964,Sister Cities,2b2b7c9bf5ed
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.548763,0.571247,0.65152,0.590237,Sister Cities,e398958164be
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.451856,0.692307,0.54857,0.711297,Sister Cities,c0f3aa11c4f5
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.243008,0.72458,0.345567,0.74357,Sister Cities,ca32e952be70
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.173966,0.829466,0.270734,0.848456,Sister Cities,281f8934964f
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.535688,0.845527,0.638265,0.864517,Sister Cities,81983ed0b564
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.631278,0.861734,0.733854,0.880724,Sister Cities,5a556b9ea85c
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.171819,0.146941,0.254805,0.165931,Sister City,7f5508f7cbf8
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.41916,0.170729,0.502327,0.189719,Sister City,9d43f0997493
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.704012,0.186941,0.787178,0.205931,Sister City,8f1f01ed40d6
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.790636,0.186941,0.848042,0.205931,Sister Cities,8fabd8e35ba3
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.114418,0.203153,0.166052,0.222143,Sister Cities,adab54ddd30c
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.149703,0.219365,0.25246,0.238355,Sister Cities,462842f45704
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.135181,0.235578,0.218168,0.254568,Sister City,5e7971ec4343
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.222942,0.322888,0.306109,0.341878,Sister City,8c85d260fd4b
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.671754,0.322888,0.774312,0.341878,Sister Cities,d14e414e0428
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.347683,0.420009,0.43085,0.438999,Sister City,aae748315c40
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.260626,0.436221,0.343612,0.455211,Sister City,746fb1d07d1a
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.482788,0.715944,0.565774,0.734934,Sister City,67f3e34ec4d7
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.219091,0.222396,0.302059,0.241386,Sister City,b007a62e5ba4
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.224376,0.238456,0.307345,0.257446,Sister City,4f890e9fd5da
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.533569,0.300426,0.619261,0.319416,Sister City,fb07d4e3dfd0
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.56364,0.378646,0.66652,0.397636,Sister Cities,20d85d25f06e
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.542913,0.577913,0.645471,0.596903,Sister Cities,db7bc1e0e508
placeholder_image_2.png,3,EMAIL_ADDRESS,"(0, 0, 0)",0.448627,0.78303,0.647451,0.796061,akaplan@sister-cities.org,8Dd6E4PqOKYE
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.810588,0.783333,0.840392,0.796364,( 202,d2ZBIu5SUN20
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.118039,0.799697,0.188802,0.81,347-8630,7MnLc3h1MHAu
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.3,0.755,0.47,0.8,SIGNATURE,6415c11737dd
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.7,0.755,0.9,0.8,SIGNATURE,e01f76232048
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.317255,0.80697,0.764314,0.817576,Mohammed bin Butti Al Hamed Lee,XrVRPFtJJUcG
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.730588,0.80697,0.764314,0.816667,Lee,b9zWH3p9Qgy6
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.317255,0.807273,0.612157,0.817576,Mohammed bin Butti Al Hamed,49yT5UcahYqm
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.05,0.755,0.3,0.84,SIGNATURE,2c0d0d0276eb
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.58,0.755,0.95,0.84,SIGNATURE,f3b34ffcd85a
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.232157,0.822424,0.311961,0.892727,Jy W,9tOQ1OROZG49
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.673333,0.878485,0.795686,0.890909,Ken Livingston,9iDMJ8NIjkgl
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.179216,0.27697,0.216078,0.292727,Tas,bBXArHdGWN5q
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.627843,0.533636,0.718431,0.552727,patel cea,erkEXmuKEocq
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.627843,0.533636,0.672157,0.552727,a patel,7W4lnmUEIYOO
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.7,0.533636,0.718431,0.552727,cea,ViSQuroNJy0B
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.489804,0.574545,0.541569,0.593636,se Digger,eJgKAVXWqVCJ
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.56,0.7,0.88,0.77,SIGNATURE,0b25339441fe
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.56,0.77,0.88,0.84,SIGNATURE,401a09e83b16
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.561569,0.825455,0.70902,0.839091,Jorge O . Zambrano,3CDqgoSGEdSe
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.557647,0.215758,0.731765,0.226364,RICHARD M . DALEY,nC1dT6AimEp2
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.563922,0.261818,0.724706,0.272424,ZHANG RONGMAO,moxrKSNMqeNh
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.623529,0.412121,0.859314,0.424545,the Honorable Zhang Rongmao,VZfW9JRhylJ7
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.200784,0.412424,0.332026,0.423939,Richard M . Daley,gkMe8gxqzGtX
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.08,0.77,0.47,0.86,SIGNATURE,da13c276eeb9
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.52,0.77,0.92,0.86,SIGNATURE,76c69fc554bb
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.792157,0.820303,0.876471,0.829697,RONGMAO,b44IyUlPUuYK
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.340392,0.822424,0.428627,0.831515,RICHARD M,IyD6bHD8UigJ
