image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,SisterCities,938dba1a844a
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.115039,0.184576,0.207314,0.204212,Sister City,27e4d766dc21
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.131902,0.208515,0.219078,0.227848,Sister City,b262128a45d5
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.115824,0.256697,0.253588,0.27603,Sister City,91a4487a790f
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.411118,0.256697,0.494765,0.27603,Sister City,9f0bad11a96f
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.115431,0.297303,0.215941,0.313606,Sister Cities,13ac20937d7f
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.268765,0.329424,0.369275,0.34603,Sister Cities,c1f468dbb29d
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.310333,0.409121,0.41202,0.428455,Sister City,332387aed3ce
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.600922,0.425485,0.701431,0.442091,Sister Cities,4c8887a62fbd
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.172294,0.465485,0.272804,0.482091,Sister Cities,de2046d0bcac
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.166804,0.489121,0.267314,0.505424,Sister Cities,aea1077f7cfc
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.538569,0.489424,0.633196,0.505727,Sister Cities,f46d607c66f3
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.715039,0.537909,0.814765,0.554515,Sister Cities,822d8ea30a3e
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.549549,0.57003,0.650059,0.586636,Sister Cities,73665d29a6eb
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.452294,0.691545,0.547314,0.707848,Sister Cities,c729c75d30f2
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.244059,0.723364,0.344569,0.73997,Sister Cities,a1f52a6311b6
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.174647,0.828515,0.266866,0.846636,Sister Cities,cf172f8fb2f1
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.536608,0.844273,0.636725,0.860879,Sister Cities,861b51e0f5eb
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.631902,0.860636,0.732412,0.876939,Sister Cities,38d28bc708b0
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,SisterCities,107f4a9c91dc
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.172686,0.146091,0.253588,0.165121,Sister City,83b6f68c3d85
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.419745,0.17003,0.501039,0.189061,Sister City,9970460a4569
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.704451,0.186091,0.783863,0.205121,Sister City,69982188635f
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.150725,0.218212,0.251235,0.234818,Sister Cities,99bb4f18a75c
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.135824,0.234879,0.217118,0.253909,Sister City,65dc00275bbc
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.672686,0.321848,0.772804,0.338152,Sister Cities,f065c5de0e52
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.223667,0.322152,0.410843,0.341182,Sister City,d9da686e7a14
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.348373,0.419121,0.429667,0.438152,Sister City,5d24d22e0d4e
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.261314,0.435485,0.342608,0.454515,Sister City,e926668a18d7
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.454647,0.458818,0.54849,0.478152,Sister City,c3fed5bbbb72
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.483275,0.715182,0.564569,0.734212,Sister City,7d97a8cd3011
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.411627,0.063909,SisterCities,fc1452cdfcdc
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.219745,0.221545,0.301039,0.240576,Sister City,28b44c935af1
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.225235,0.237606,0.306137,0.256636,Sister City,ee3def632471
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.534255,0.299727,0.618294,0.318758,Sister City,4f9cb49de313
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.564451,0.377606,0.665353,0.393909,Sister Cities,f48e64cdb363
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.543667,0.576697,0.644176,0.593303,Sister Cities,c86946dd7f7c
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.335824,0.638212,0.41751,0.657242,Sister City,a950b638d8e3
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.344843,0.670636,0.426137,0.689667,Sister City,caba8c061236
placeholder_image_2.png,3,EMAIL_ADDRESS,"(0, 0, 0)",0.448627,0.78303,0.647451,0.796061,akaplan@sister-cities.org,8Dd6E4PqOKYE
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.810588,0.783333,0.840392,0.796364,( 202,d2ZBIu5SUN20
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.118039,0.799697,0.188802,0.81,347-8630,7MnLc3h1MHAu
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.335431,0.391545,0.507314,0.409061,Sister Cities,f0077b9cbb3c
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.528373,0.523061,0.620647,0.538758,Sister Cities,fd62cc043980
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.251902,0.524273,0.333588,0.541788,Sister City,1d1219cae1f5
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.424059,0.674273,0.516725,0.68997,Sister Cities,d95ddbf4757d
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.662098,0.688212,0.744176,0.70603,Sister City,fd0f4dc28509
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.3,0.755,0.47,0.8,SIGNATURE,6415c11737dd
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.7,0.755,0.9,0.8,SIGNATURE,e01f76232048
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.317255,0.80697,0.764314,0.817576,Mohammed bin Butti Al Hamed Lee,XrVRPFtJJUcG
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.730588,0.80697,0.764314,0.816667,Lee,b9zWH3p9Qgy6
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.317255,0.807273,0.612157,0.817576,Mohammed bin Butti Al Hamed,49yT5UcahYqm
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.41202,0.063909,SisterCities,26834e578043
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.575824,0.353364,0.704961,0.369667,Sister City,40d0711ea8cb
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.649549,0.400333,0.715549,0.41603,London,0fef12fc6098
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.235824,0.401545,0.325353,0.419364,Sister City,217f70f86d39
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.34798,0.431242,0.436333,0.449667,Sister City,89f8a81421aa
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.654255,0.478515,0.721431,0.494212,London,ed60019b728a
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.607588,0.637909,0.673196,0.653606,London,ab660b890279
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.320529,0.670333,0.40849,0.688758,Sister City,78fd7241cbe1
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.197392,0.718212,0.264176,0.734212,London,a7483ad76c4b
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.05,0.755,0.3,0.84,SIGNATURE,2c0d0d0276eb
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.58,0.755,0.95,0.84,SIGNATURE,f3b34ffcd85a
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.232157,0.822424,0.311961,0.892727,Jy W,9tOQ1OROZG49
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.673333,0.878485,0.795686,0.890909,Ken Livingston,9iDMJ8NIjkgl
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.700529,0.907,0.766529,0.923,London,b3ac0a7eeebf
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.41202,0.063909,SisterCities,ecb273c7ae37
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.179216,0.27697,0.216078,0.292727,Tas,bBXArHdGWN5q
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.259745,0.497303,0.340647,0.518758,Sister City,fa615c3425ab
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.627843,0.533636,0.718431,0.552727,patel cea,erkEXmuKEocq
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.627843,0.533636,0.672157,0.552727,a patel,7W4lnmUEIYOO
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.7,0.533636,0.718431,0.552727,cea,ViSQuroNJy0B
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.489804,0.574545,0.541569,0.593636,se Digger,eJgKAVXWqVCJ
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.56,0.7,0.88,0.77,SIGNATURE,0b25339441fe
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.56,0.77,0.88,0.84,SIGNATURE,401a09e83b16
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.561569,0.825455,0.70902,0.839091,Jorge O . Zambrano,3CDqgoSGEdSe
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.167196,0.030939,0.41202,0.063909,SisterCities,2cfe942a779c
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.523275,0.164576,0.665353,0.182091,Sister Cities,227b6b36bc2f
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.557647,0.215758,0.731765,0.226364,RICHARD M . DALEY,nC1dT6AimEp2
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.563922,0.261818,0.724706,0.272424,ZHANG RONGMAO,moxrKSNMqeNh
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.623275,0.362758,0.697118,0.380576,Sister City,df7e3af01f07
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.623529,0.412121,0.859314,0.424545,the Honorable Zhang Rongmao,VZfW9JRhylJ7
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.200784,0.412424,0.332026,0.423939,Richard M . Daley,gkMe8gxqzGtX
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.197784,0.441848,0.283392,0.458152,Sister Cities,da0838a9e653
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.618961,0.487606,0.711235,0.508152,Sister Cities,21ddf7685cae
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.08,0.77,0.47,0.86,SIGNATURE,da13c276eeb9
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.52,0.77,0.92,0.86,SIGNATURE,76c69fc554bb
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.792157,0.820303,0.876471,0.829697,RONGMAO,b44IyUlPUuYK
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.340392,0.822424,0.428627,0.831515,RICHARD M,IyD6bHD8UigJ
