image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.115039,0.184576,0.207314,0.204212,Sister City,29a6e0c272cd
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.131902,0.208515,0.219078,0.227848,Sister City,36a0b78e0a6f
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.411118,0.256697,0.494765,0.276030,Sister City,c70fbb253cd6
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.310333,0.409121,0.412020,0.428455,Sister City,2364889dc29f
placeholder_image_0.png,2,CUSTOM,"(0, 0, 0)",0.172686,0.146091,0.253588,0.165121,Sister City,6c96d7589b99
placeholder_image_0.png,2,CUSTOM,"(0, 0, 0)",0.419745,0.170030,0.501039,0.189061,Sister City,fc4e95d16905
placeholder_image_0.png,2,CUSTOM,"(0, 0, 0)",0.704451,0.186091,0.783863,0.205121,Sister City,7c284aefa545
placeholder_image_0.png,2,CUSTOM,"(0, 0, 0)",0.135824,0.234879,0.217118,0.253909,Sister City,a1e033161d8b
placeholder_image_0.png,2,CUSTOM,"(0, 0, 0)",0.348373,0.419121,0.429667,0.438152,Sister City,ecf69c82790b
placeholder_image_0.png,2,CUSTOM,"(0, 0, 0)",0.261314,0.435485,0.342608,0.454515,Sister City,289ac0ec5ea5
placeholder_image_0.png,2,CUSTOM,"(0, 0, 0)",0.454647,0.458818,0.548490,0.478152,Sister City,d4534fcae133
placeholder_image_0.png,2,CUSTOM,"(0, 0, 0)",0.483275,0.715182,0.564569,0.734212,Sister City,c1c30e236a8e
placeholder_image_0.png,3,CUSTOM,"(0, 0, 0)",0.219745,0.221545,0.301039,0.240576,Sister City,04099c4ba1a7
placeholder_image_0.png,3,CUSTOM,"(0, 0, 0)",0.225235,0.237606,0.306137,0.256636,Sister City,a2708126fc34
placeholder_image_0.png,3,CUSTOM,"(0, 0, 0)",0.534255,0.299727,0.618294,0.318758,Sister City,e6095feb115e
placeholder_image_0.png,3,CUSTOM,"(0, 0, 0)",0.335824,0.638212,0.417510,0.657242,Sister City,39ab682bad6d
placeholder_image_0.png,3,CUSTOM,"(0, 0, 0)",0.344843,0.670636,0.426137,0.689667,Sister City,38b387515ca8
placeholder_image_2.png,3,EMAIL_ADDRESS,"(0, 0, 0)",0.448627,0.78303,0.647451,0.796061,akaplan@sister-cities.org,8Dd6E4PqOKYE
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.810588,0.783333,0.840392,0.796364,( 202,d2ZBIu5SUN20
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.118039,0.799697,0.188802,0.81,347-8630,7MnLc3h1MHAu
placeholder_image_0.png,4,CUSTOM,"(0, 0, 0)",0.251902,0.524273,0.333588,0.541788,Sister City,5179c5a5a0a6
placeholder_image_0.png,4,CUSTOM,"(0, 0, 0)",0.662098,0.688212,0.744176,0.706030,Sister City,5ecf406eafa9
placeholder_image_0.png,4,CUSTOM,"(0, 0, 0)",0.300000,0.755000,0.470000,0.800000,SIGNATURE,6415c11737dd
placeholder_image_0.png,4,CUSTOM,"(0, 0, 0)",0.700000,0.755000,0.900000,0.800000,SIGNATURE,e01f76232048
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.317255,0.80697,0.764314,0.817576,Mohammed bin Butti Al Hamed Lee,XrVRPFtJJUcG
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.730588,0.80697,0.764314,0.816667,Lee,b9zWH3p9Qgy6
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.317255,0.807273,0.612157,0.817576,Mohammed bin Butti Al Hamed,49yT5UcahYqm
placeholder_image_0.png,5,CUSTOM,"(0, 0, 0)",0.575824,0.353364,0.704961,0.369667,Sister City,f45000d8d897
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.649549,0.400333,0.715549,0.41603,London,cc463b908e8a
placeholder_image_0.png,5,CUSTOM,"(0, 0, 0)",0.235824,0.401545,0.325353,0.419364,Sister City,1618cb870674
placeholder_image_0.png,5,CUSTOM,"(0, 0, 0)",0.347980,0.431242,0.436333,0.449667,Sister City,436ef29092eb
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.654255,0.478515,0.721431,0.494212,London,17e5a77f4fe7
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.607588,0.637909,0.673196,0.653606,London,b4188f596bc4
placeholder_image_0.png,5,CUSTOM,"(0, 0, 0)",0.320529,0.670333,0.408490,0.688758,Sister City,6253370626db
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.197392,0.718212,0.264176,0.734212,London,cbd02d2deb14
placeholder_image_0.png,5,CUSTOM,"(0, 0, 0)",0.050000,0.755000,0.300000,0.840000,SIGNATURE,2c0d0d0276eb
placeholder_image_0.png,5,CUSTOM,"(0, 0, 0)",0.580000,0.755000,0.950000,0.840000,SIGNATURE,f3b34ffcd85a
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.232157,0.822424,0.311961,0.892727,Jy W,9tOQ1OROZG49
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.673333,0.878485,0.795686,0.890909,Ken Livingston,9iDMJ8NIjkgl
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.700529,0.907,0.766529,0.923,London,705998c32b25
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.179216,0.27697,0.216078,0.292727,Tas,bBXArHdGWN5q
placeholder_image_0.png,6,CUSTOM,"(0, 0, 0)",0.259745,0.497303,0.340647,0.518758,Sister City,3b22996b6918
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.627843,0.533636,0.718431,0.552727,patel cea,erkEXmuKEocq
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.627843,0.533636,0.672157,0.552727,a patel,7W4lnmUEIYOO
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.7,0.533636,0.718431,0.552727,cea,ViSQuroNJy0B
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.489804,0.574545,0.541569,0.593636,se Digger,eJgKAVXWqVCJ
placeholder_image_0.png,6,CUSTOM,"(0, 0, 0)",0.560000,0.700000,0.880000,0.770000,SIGNATURE,0b25339441fe
placeholder_image_0.png,6,CUSTOM,"(0, 0, 0)",0.560000,0.770000,0.880000,0.840000,SIGNATURE,401a09e83b16
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.561569,0.825455,0.70902,0.839091,Jorge O . Zambrano,3CDqgoSGEdSe
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.557647,0.215758,0.731765,0.226364,RICHARD M . DALEY,nC1dT6AimEp2
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.563922,0.261818,0.724706,0.272424,ZHANG RONGMAO,moxrKSNMqeNh
placeholder_image_0.png,7,CUSTOM,"(0, 0, 0)",0.623275,0.362758,0.697118,0.380576,Sister City,43f9ed3dcca9
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.623529,0.412121,0.859314,0.424545,the Honorable Zhang Rongmao,VZfW9JRhylJ7
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.200784,0.412424,0.332026,0.423939,Richard M . Daley,gkMe8gxqzGtX
placeholder_image_0.png,7,CUSTOM,"(0, 0, 0)",0.080000,0.770000,0.470000,0.860000,SIGNATURE,da13c276eeb9
placeholder_image_0.png,7,CUSTOM,"(0, 0, 0)",0.520000,0.770000,0.920000,0.860000,SIGNATURE,76c69fc554bb
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.792157,0.820303,0.876471,0.829697,RONGMAO,b44IyUlPUuYK
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.340392,0.822424,0.428627,0.831515,RICHARD M,IyD6bHD8UigJ
