text,xmin,ymin,xmax,ymax,label,start,end,score,page
Sister City,0.134902,0.211515,0.216078,0.224848,LOCATION,2,13,0.85,1
a U.S,0.521569,0.227879,0.560784,0.238182,LOCATION,54,58,0.85,1
Friendship City,0.135686,0.396061,0.254118,0.409394,LOCATION,2,17,0.85,1
Friendship City,0.587843,0.412121,0.706667,0.425455,LOCATION,59,74,0.85,1
Friendship City,0.202353,0.444545,0.321176,0.457879,LOCATION,10,25,0.85,1
U.S,0.170588,0.508485,0.194118,0.519091,LOCATION,0,4,0.85,1
U.S,0.599608,0.524545,0.623137,0.535152,LOCATION,53,57,0.85,1
U.S,0.821569,0.798788,0.845098,0.809394,LOCATION,91,95,0.85,1
U.S,0.434118,0.863636,0.457647,0.873939,LOCATION,40,44,0.85,1
U.S,0.354902,0.189091,0.378431,0.199394,LOCATION,32,36,0.85,2
U.S,0.781176,0.205152,0.804706,0.215758,LOCATION,86,90,0.85,2
U.S,0.418039,0.357273,0.441569,0.367879,LOCATION,37,41,0.85,2
the City Directory,0.616863,0.596364,0.756078,0.609394,LOCATION,56,74,0.85,3
akaplan@sister-cities.org,0.448627,0.78303,0.647451,0.796061,EMAIL_ADDRESS,41,66,1.0,3
( 202,0.810588,0.783333,0.840392,0.796364,PHONE_NUMBER,87,92,0.4,3
347-8630,0.118039,0.799697,0.188802,0.81,PHONE_NUMBER,0,8,0.4,3
ABU DHABI,0.490196,0.433636,0.61451,0.444848,LOCATION,12,21,0.85,4
U.S.A,0.616863,0.472424,0.673072,0.486364,LOCATION,16,21,0.85,4
HOUSTON,0.386667,0.472727,0.498431,0.484242,LOCATION,0,7,0.85,4
TEXAS,0.519608,0.472727,0.593725,0.483939,LOCATION,8,13,0.85,4
the United States of America,0.36549,0.540303,0.573725,0.549697,LOCATION,20,48,0.85,4
the United States,0.512549,0.553636,0.636078,0.563333,LOCATION,37,54,0.85,4
Abu Dhabi,0.535294,0.594848,0.614902,0.604242,LOCATION,46,55,0.85,4
Houston,0.652549,0.595152,0.709853,0.605455,LOCATION,60,67,0.85,4
Communities,0.222745,0.62303,0.317647,0.632727,LOCATION,0,11,0.85,4
Houston,0.338824,0.650303,0.396127,0.660909,LOCATION,14,21,0.85,4
