image,page,label,color,xmin,ymin,xmax,ymax,id,text
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,LOCATION,"(0, 0, 0)",0.134902,0.211515,0.216078,0.224848,v5dGj3kG36Oe,Sister City
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,LOCATION,"(0, 0, 0)",0.521569,0.227879,0.560784,0.238182,8pyZVG75Eg0M,a U.S
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,LOCATION,"(0, 0, 0)",0.135686,0.396061,0.254118,0.409394,mHIMvKx2MQQS,Friendship City
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,LOCATION,"(0, 0, 0)",0.587843,0.412121,0.706667,0.425455,pdjJS8hX7Qrx,Friendship City
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,LOCATION,"(0, 0, 0)",0.202353,0.444545,0.321176,0.457879,uEEWlu7wwZsA,Friendship City
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,LOCATION,"(0, 0, 0)",0.170588,0.508485,0.194118,0.519091,6Awa0x1o0naq,U.S
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,LOCATION,"(0, 0, 0)",0.599608,0.524545,0.623137,0.535152,JixTrEF5gt5Z,U.S
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,LOCATION,"(0, 0, 0)",0.821569,0.798788,0.845098,0.809394,9Xy7S3sChsyv,U.S
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,LOCATION,"(0, 0, 0)",0.434118,0.863636,0.457647,0.873939,htmFAVPdrqvv,U.S
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_1.png,2,LOCATION,"(0, 0, 0)",0.354902,0.189091,0.378431,0.199394,R4GGkFwDjTOA,U.S
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_1.png,2,LOCATION,"(0, 0, 0)",0.781176,0.205152,0.804706,0.215758,wJ7Wi2IBJonj,U.S
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_1.png,2,LOCATION,"(0, 0, 0)",0.418039,0.357273,0.441569,0.367879,j3aVhZjvv5cc,U.S
