image,page,label,color,xmin,ymin,xmax,ymax,id,text
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,LOCATION,"(0, 0, 0)",0.134902,0.211515,0.216078,0.224848,v5dGj3kG36Oe,Sister City
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_2.png,3,EMAIL_ADDRESS,"(0, 0, 0)",0.448627,0.78303,0.647451,0.796061,hGtRdSbYszMb,akaplan@sister-cities.org
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.810588,0.783333,0.840392,0.796364,YMMeSiwHlmL9,( 202
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.118039,0.799697,0.188802,0.81,2i2qxPxzKANO,347-8630
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_3.png,4,LOCATION,"(0, 0, 0)",0.665098,0.691212,0.741176,0.70303,tMSZqUraqcC4,Sister City
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_3.png,4,PERSON,"(0, 0, 0)",0.317255,0.80697,0.764314,0.817576,CRcNkeotrhO6,Mohammed bin Butti Al Hamed Lee
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_3.png,4,PERSON,"(0, 0, 0)",0.730588,0.80697,0.764314,0.816667,Dou0YNfozvLH,Lee
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_3.png,4,PERSON,"(0, 0, 0)",0.317255,0.807273,0.612157,0.817576,7PFFusJpaqMt,Mohammed bin Butti Al Hamed
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,LOCATION,"(0, 0, 0)",0.439608,0.262424,0.679216,0.271818,J8dZLFdAZwf2,THe City OF New Yor«
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,LOCATION,"(0, 0, 0)",0.652549,0.403333,0.712549,0.41303,ou6OvioqsTdw,London
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,LOCATION,"(0, 0, 0)",0.238824,0.404545,0.322353,0.416364,4oHcs96oRA4k,Sister City
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,LOCATION,"(0, 0, 0)",0.35098,0.434242,0.433333,0.446667,ovqituZ49ahY,Sister City
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,LOCATION,"(0, 0, 0)",0.657255,0.481515,0.718431,0.491212,gmsmSaUVFjlx,London
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,LOCATION,"(0, 0, 0)",0.610588,0.640909,0.670196,0.650606,VfuReIZg8h91,London
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,LOCATION,"(0, 0, 0)",0.323529,0.673333,0.40549,0.685758,ygF2zsGEb0K5,Sister City
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,LOCATION,"(0, 0, 0)",0.200392,0.721212,0.261176,0.731212,GS8ZzV6YR7FJ,London
/home/user/app/input/291635fc/d564af67a9b7444f85f18047c8b3b68f_Partnership-Agreement-Toolkit_0_0.pdf_4.png,5,PERSON,"(0, 0, 0)",0.673333,0.878485,0.795686,0.890909,eKMWxwXSrYQW,Ken Livingston
