image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_2.png,3,EMAIL_ADDRESS,"(0, 0, 0)",0.448627,0.78303,0.647451,0.796061,akaplan@sister-cities.org,H7hchxRyVKfe
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.810588,0.783333,0.840392,0.796364,( 202,CS7soXaAG3tg
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.118039,0.799697,0.188802,0.81,347-8630,uLc9rqltlKMT
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.25,0.18,0.75,0.23,SISTER CITIES RELATIONSHIP,e607ecb5d31e
placeholder_image_3.png,4,SIGNATURE,"(0, 0, 0)",0.25,0.765,0.43,0.79,signature_Sheikh_Mohammed,a2b60fd3965a
placeholder_image_3.png,4,SIGNATURE,"(0, 0, 0)",0.68,0.765,0.83,0.79,signature_Lee_Brown,1ead5dddb287
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.317255,0.807273,0.612157,0.817576,Mohammed bin Butti Al Hamed,6bYnSLL0tRfG
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.431,0.3564,0.5725,0.367,CITY-LONDON (contains London),1abd6ea1cf2a
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.48,0.367,0.796,0.38,SISTER CITY PARTNERSHIP,2089b8f3a201
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.6525,0.4033,0.7125,0.413,London,715c627e6dce
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.6573,0.4815,0.7184,0.4912,London,c62430138166
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.6106,0.6409,0.6702,0.6506,London,85910b990634
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.2004,0.7212,0.2612,0.7312,London,b9c4524eea63
placeholder_image_4.png,5,SIGNATURE,"(0, 0, 0)",0.18,0.795,0.33,0.84,signature_Giuliani,eb1710756af3
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.673333,0.878485,0.795686,0.890909,Ken Livingston,GYqhheYcSlRW
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.7035,0.91,0.7635,0.92,London,a46d794b0ea2
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.25,0.33,0.75,0.41,Sister City Agreement title,d26886a1131c
placeholder_image_5.png,6,SIGNATURE,"(0, 0, 0)",0.48,0.73,0.68,0.75,signature_Long_Beach_mayor,a03b994fae41
placeholder_image_5.png,6,SIGNATURE,"(0, 0, 0)",0.56,0.795,0.71,0.815,signature_Zambrano,7fdb955190d4
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.561569,0.825455,0.70902,0.839091,Jorge O . Zambrano,P57DD4CklRNe
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.25,0.14,0.75,0.19,SISTER CITIES DECLARATION,07c7ad64a5f4
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.557647,0.215758,0.731765,0.226364,RICHARD M . DALEY,yLKhu9qzjWw4
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.563922,0.261818,0.724706,0.272424,ZHANG RONGMAO,wvHx8V0TE1Pp
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.623529,0.412121,0.859314,0.424545,the Honorable Zhang Rongmao,9o6p3tiCmAzf
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.200784,0.412424,0.332026,0.423939,Richard M . Daley,mc6LnJvidU2f
placeholder_image_6.png,7,SIGNATURE,"(0, 0, 0)",0.34,0.795,0.43,0.815,signature_Daley,f85c932b8fb1
placeholder_image_6.png,7,SIGNATURE,"(0, 0, 0)",0.626,0.795,0.88,0.815,signature_Zhang,46ead66e6e84
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.792157,0.820303,0.876471,0.829697,RONGMAO,PZmi1uaExqQX
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.340392,0.822424,0.428627,0.831515,RICHARD M,pN4qXhw5LUUH
