image,page,label,color,xmin,ymin,xmax,ymax,id,text
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.118039,0.187576,0.204314,0.201212,fb558f9403f8,Sister City
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.134902,0.211515,0.216078,0.224848,2c8a1fa72f82,Sister City
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.118824,0.259697,0.250588,0.273030,de96779ceef5,"""sister city/sister"
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.174510,0.259697,0.303922,0.273030,6038144de0e0,"city/sister cities"""
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.414118,0.259697,0.491765,0.273030,005786b18479,Sister city
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.118431,0.300303,0.212941,0.310606,9b189708ab5e,sister Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.271765,0.332424,0.366275,0.343030,b2f339856c66,Sister Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.313333,0.412121,0.409020,0.425455,d8e561b6665e,"""Sister City"""
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.603922,0.428485,0.698431,0.439091,59dacf4fda2f,Sister Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.175294,0.468485,0.269804,0.479091,0433282127e8,Sister Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.169804,0.492121,0.264314,0.502424,b4ef321f0fd4,sister Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.541569,0.492424,0.630196,0.502727,641b00423e03,sister cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.718039,0.540909,0.811765,0.551515,4b6bb69f753a,Sister Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.552549,0.573030,0.647059,0.583636,306d95e17fc4,Sister Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.455294,0.694545,0.544314,0.704848,d9b32193f0fd,sister cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.247059,0.726364,0.341569,0.736970,43b06a1790a1,Sister Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.774510,0.742727,0.819216,0.753333,b4eaf2bec389,Sister
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.169412,0.758788,0.212941,0.769394,398cae0c6fb8,Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.177647,0.831515,0.263866,0.843636,b13e0998214c,sister cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.539608,0.847273,0.633725,0.857879,13a5cc49187e,Sister Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_0.png,1,CUSTOM,"(0, 0, 0)",0.634902,0.863636,0.729412,0.873939,c89fef27e384,Sister Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_1.png,2,CUSTOM,"(0, 0, 0)",0.175686,0.149091,0.250588,0.162121,4c907c1965f3,sister city
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_1.png,2,CUSTOM,"(0, 0, 0)",0.422745,0.173030,0.498039,0.186061,974bfa2d76f9,sister city
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_1.png,2,CUSTOM,"(0, 0, 0)",0.707451,0.189091,0.780863,0.202121,52bb0346d8e2,sister city
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_1.png,2,CUSTOM,"(0, 0, 0)",0.794510,0.189091,0.839216,0.199394,b9b680c74b28,Sister
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_1.png,2,CUSTOM,"(0, 0, 0)",0.118431,0.205152,0.161961,0.215758,f3379088ef54,Cities
/home/user/app/input/f7e18b91/bf1c2a623775423b8347fd997ac98985_Partnership-Agreement-Toolkit_0_0.pdf_1.png,2,CUSTOM,"(0, 0, 0)",0.153725,0.221212,0.248235,0.231818,6e78d1f545e5,Sister Cities
