image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.118039,0.187576,0.204314,0.201212,Sister City,fb558f9403f8
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.134902,0.211515,0.216078,0.224848,Sister City,2c8a1fa72f82
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.118824,0.259697,0.250588,0.27303,"""sister city/sister",de96779ceef5
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.17451,0.259697,0.303922,0.27303,"city/sister cities""",6038144de0e0
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.414118,0.259697,0.491765,0.27303,Sister city,005786b18479
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.118431,0.300303,0.212941,0.310606,sister Cities,9b189708ab5e
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.271765,0.332424,0.366275,0.34303,Sister Cities,b2f339856c66
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.313333,0.412121,0.40902,0.425455,"""Sister City""",d8e561b6665e
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.603922,0.428485,0.698431,0.439091,Sister Cities,59dacf4fda2f
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.175294,0.468485,0.269804,0.479091,Sister Cities,0433282127e8
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.169804,0.492121,0.264314,0.502424,sister Cities,b4ef321f0fd4
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.541569,0.492424,0.630196,0.502727,sister cities,641b00423e03
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.718039,0.540909,0.811765,0.551515,Sister Cities,4b6bb69f753a
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.552549,0.57303,0.647059,0.583636,Sister Cities,306d95e17fc4
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.455294,0.694545,0.544314,0.704848,sister cities,d9b32193f0fd
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.247059,0.726364,0.341569,0.73697,Sister Cities,43b06a1790a1
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.77451,0.742727,0.819216,0.753333,Sister,b4eaf2bec389
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.169412,0.758788,0.212941,0.769394,Cities,398cae0c6fb8
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.177647,0.831515,0.263866,0.843636,sister cities,b13e0998214c
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.539608,0.847273,0.633725,0.857879,Sister Cities,13a5cc49187e
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.634902,0.863636,0.729412,0.873939,Sister Cities,c89fef27e384
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.175686,0.149091,0.250588,0.162121,sister city,4c907c1965f3
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.422745,0.17303,0.498039,0.186061,sister city,974bfa2d76f9
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.707451,0.189091,0.780863,0.202121,sister city,52bb0346d8e2
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.79451,0.189091,0.839216,0.199394,Sister,b9b680c74b28
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.118431,0.205152,0.161961,0.215758,Cities,f3379088ef54
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.153725,0.221212,0.248235,0.231818,Sister Cities,6e78d1f545e5
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.138824,0.237879,0.214118,0.250909,sister city,7502279dd2c0
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.675686,0.324848,0.769804,0.335152,Sister Cities,fd372004dcc6
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.226667,0.325152,0.407843,0.338182,sister city/county/state,cff1cd0a4440
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.351373,0.422121,0.426667,0.435152,sister city,333bd51a3090
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.264314,0.438485,0.339608,0.451515,sister city,aed224be7b98
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.457647,0.461818,0.54549,0.475152,"""Sister City",65a970fc835a
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.486275,0.718182,0.561569,0.731212,sister city,ee0383525df3
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.222745,0.224545,0.298039,0.237576,sister city,b9e88b26cf1f
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.228235,0.240606,0.303137,0.253636,sister city,a3e615eb028a
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.537255,0.302727,0.615294,0.315758,Sister city,e92c4e2be57c
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.567451,0.380606,0.662353,0.390909,Sister Cities,aa16f6c87a49
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.546667,0.579697,0.641176,0.590303,Sister Cities,79afa83f38e7
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.338824,0.641212,0.41451,0.654242,sister city,b2b2a418ee36
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.347843,0.673636,0.423137,0.686667,sister city,448beff13e27
placeholder_image_2.png,3,EMAIL_ADDRESS,"(0, 0, 0)",0.448627,0.78303,0.647451,0.796061,akaplan@sister-cities.org,K20PWduZgqK5
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.810588,0.783333,0.840392,0.796364,( 202,OFe4ePUFdFTB
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.118039,0.799697,0.188802,0.81,347-8630,wIhFBCrqack2
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.338431,0.394545,0.504314,0.406061,SISTER CITIES,984e9f830742
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.531373,0.526061,0.617647,0.535758,Sister Cities,71f31748fb2d
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.254902,0.527273,0.330588,0.538788,Sister City,d0e6a083f97b
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.427059,0.677273,0.513725,0.68697,Sister Cities,d267b05c8882
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.665098,0.691212,0.741176,0.70303,Sister City,e521ff747ea2
placeholder_image_3.png,4,SIGNATURE,"(0, 0, 0)",0.158,0.77,0.46,0.808,Sheikh signature,9661ead002eb
placeholder_image_3.png,4,SIGNATURE,"(0, 0, 0)",0.685,0.77,0.905,0.808,Mayor Brown signature,e651808ed5f1
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.317255,0.80697,0.848235,0.817576,Mohammed bin Butti Al Hamed Lee,3fHMucEijsEd
placeholder_image_4.png,5,LOCATION,"(0, 0, 0)",0.43098,0.356364,0.572549,0.36697,CITY-LONDON,a7719ef10eb9
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.578824,0.356364,0.701961,0.366667,SISTER CITY,473ba2ef2f55
placeholder_image_4.png,5,LOCATION,"(0, 0, 0)",0.652549,0.403333,0.712549,0.41303,London,3f2daf501f43
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.238824,0.404545,0.322353,0.416364,Sister City,a16f30b04d87
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.35098,0.434242,0.433333,0.446667,Sister City,532caee4e8f0
placeholder_image_4.png,5,LOCATION,"(0, 0, 0)",0.657255,0.481515,0.718431,0.491212,London,be925d59561e
placeholder_image_4.png,5,LOCATION,"(0, 0, 0)",0.610588,0.640909,0.670196,0.650606,London,d8f79b7a7604
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.323529,0.673333,0.40549,0.685758,Sister City,6a943c1d21e9
placeholder_image_4.png,5,LOCATION,"(0, 0, 0)",0.200392,0.721212,0.261176,0.731212,London,1025da25314d
placeholder_image_4.png,5,SIGNATURE,"(0, 0, 0)",0.17,0.795,0.44,0.878,Giuliani signature,13e06ad163d2
placeholder_image_4.png,5,SIGNATURE,"(0, 0, 0)",0.56,0.795,0.84,0.878,Livingstone signature,12eb5f1d04e0
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.673333,0.878485,0.795686,0.890909,Ken Livingston,n81aR9V3FtrR
placeholder_image_4.png,5,LOCATION,"(0, 0, 0)",0.703529,0.91,0.763529,0.92,London,e3c449e21e3e
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.17,0.165,0.75,0.39,Sister City Agreement calligraphic,3a3d5da73249
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.262745,0.500303,0.337647,0.515758,"""Sister City",68d3a73efcfa
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.295686,0.646364,0.360784,0.657273,Sister Cety,6c7258bf983a
placeholder_image_5.png,6,SIGNATURE,"(0, 0, 0)",0.33,0.7,0.73,0.765,Beverly D Neill signature,6452f6117cae
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.355,0.757,0.66,0.778,Beverly D Neill,dda1d948f492
placeholder_image_5.png,6,SIGNATURE,"(0, 0, 0)",0.39,0.775,0.72,0.825,Jorge Zambrano signature,27fe587ab628
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.561569,0.825455,0.70902,0.839091,Jorge O . Zambrano,QwM5pwbrmvIr
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.526275,0.167576,0.662353,0.179091,SISTER CITIES,bbf01b0c5077
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.557647,0.215758,0.731765,0.226364,RICHARD M . DALEY,0vWxVqfOj2ha
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.563922,0.261818,0.724706,0.272424,ZHANG RONGMAO,uyjAU1w5eYfd
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.626275,0.365758,0.694118,0.377576,sister city,b5366fcce0cc
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.623529,0.412121,0.859314,0.424545,the Honorable Zhang Rongmao,A3VoUzeRpxgk
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.200784,0.412424,0.332026,0.423939,Richard M . Daley,pozln51JZNHp
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.200784,0.444848,0.280392,0.455152,sister cities,627aa4295d6f
