image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,STREETNAME,"(0, 0, 0)",0.7063,0.025,0.9167,0.0409,36 Westmoreland Drive,MFWTEIlcCwuM
placeholder_image_0.png,1,LOCATION,"(0, 0, 0)",0.723,0.0414,0.8158,0.0573,Newcastle,Ph7t7glzisyN
placeholder_image_0.png,1,LOCATION,"(0, 0, 0)",0.8215,0.0414,0.8665,0.0573,upon,vN1YPYf9BPW4
placeholder_image_0.png,1,LOCATION,"(0, 0, 0)",0.8719,0.0414,0.9167,0.0573,Tyne,tlB7jcPLc7dz
placeholder_image_0.png,1,UKPOSTCODE,"(0, 0, 0)",0.8373,0.0578,0.9169,0.0737,NE1 8LT,bzOZj3az4Q07
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.0835,0.0906,0.2269,0.1065,UK Health Trust,30xRKVR2Ii0g
placeholder_image_0.png,1,STREETNAME,"(0, 0, 0)",0.0835,0.107,0.2652,0.1229,18 Whitehall Square,mLyXHBS2F08T
placeholder_image_0.png,1,LOCATION,"(0, 0, 0)",0.0835,0.1234,0.1508,0.1393,London,VEnyXku0JkFZ
placeholder_image_0.png,1,UKPOSTCODE,"(0, 0, 0)",0.0835,0.1398,0.1675,0.1557,SW1 9LT,358asmogkIjJ
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.6284,0.2271,0.7202,0.243,Health UK,sYAhO8iEASf5
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.4077,0.2435,0.5942,0.2594,Newcastle University,hOn9jklgCEoN
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.285,0.3037,0.4284,0.3196,UK Health Trust,11OEsN3Y0HpL
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.3121,0.3693,0.4557,0.3852,UK Health Trust,FD9mIoYuomBK
placeholder_image_0.png,1,LOCATION,"(0, 0, 0)",0.1563,0.5004,0.2491,0.5163,Newcastle,8CbmuFdr0sEZ
placeholder_image_0.png,1,LOCATION,"(0, 0, 0)",0.7246,0.566,0.7852,0.5819,Ghana,CaGG3vIm7Ymk
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.578,0.7136,0.7716,0.7295,NU Sociology Society,CMPzm7EVjiXQ
placeholder_image_0.png,1,LOCATION,"(0, 0, 0)",0.8455,0.7736,0.9127,0.7895,London,XVtXTSmy4dWF
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.1835,0.79,0.3266,0.8058,UK Health Trust,qkoAJc0eUL5d
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.0835,0.8883,0.2222,0.9042,Rachel Sullivan,SRUwZHdLE2lW
