image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.0742,0.0542,0.2906,0.0909,Lambeth,ovPSRcRrMYBa
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.2551,0.2015,0.3478,0.2158,LAMBETH,N2ixzylXpiPV
placeholder_image_0.png,1,CUSTOM - PERSON,"(0, 0, 0)",0.7058,0.935,0.9033,0.9692,Lambeth,aes36XyHu1N1
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.8385,0.0316,0.8833,0.0422,Lambeth 2030 Lambeth,txxbNvEpnNtZ
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.9347,0.0316,0.9627,0.0422,Lambeth,sHDKqf3w12e2
placeholder_image_1.png,2,CUSTOM - PERSON,"(0, 0, 0)",0.0387,0.0322,0.0837,0.0422,Lambeth 2030 Lambeth Lambeth,9tItZ3TiJesG
placeholder_image_1.png,2,PERSON,"(0, 0, 0)",0.1351,0.0322,0.1613,0.0422,Lambeth,inUPgaaBVgKL
placeholder_image_1.png,2,CUSTOM - PERSON,"(0, 0, 0)",0.537,0.1149,0.8571,0.1762,Lambeth 2030 Lambeth,EGAGztP7DgZ9
placeholder_image_1.png,2,PERSON,"(0, 0, 0)",0.537,0.1149,0.7422,0.1762,Lambeth,KXRtlrTsvJuY
placeholder_image_1.png,2,CUSTOM_VLM_FACES,"(0, 0, 0)",0.2653,0.2834,0.3014,0.3706,[FACE],n3zTbTzM4uv8
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.6374,0.5023,0.6912,0.5143,Lambeth 2030,Ltq5XVpkFPw9
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.6216,0.5422,0.6769,0.553,Lambeth 2030,fp3h8TpENfEu
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.5646,0.5807,0.6007,0.5935,Lambeth,XYTFwTftriv7
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.6259,0.6197,0.6628,0.6326,Lambeth,2OUNEtART3bM
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.6281,0.6588,0.6648,0.6719,Lambeth,zAq1QieUPFgU
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.6315,0.699,0.6698,0.7107,Lambeth,hL15Vcue1Q3i
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.5652,0.7375,0.6249,0.7497,Lambeth 2030,yxbVC72FRwnP
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.0387,0.0322,0.0869,0.0416,Lambeth 2030 Lambeth,up61oR4UEuPp
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.1349,0.0322,0.1611,0.0416,Lambeth,oBxDTNZL4Uw1
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.8383,0.0322,0.8871,0.0416,Lambeth 2030 Lambeth,pjS3JcIwF5a0
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.9347,0.0322,0.9625,0.0416,Lambeth,Q8fRO2iVZqCQ
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.0468,0.301,0.1139,0.3227,Lambeth,z7NGdu6tyvC1
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.6523,0.3016,0.716,0.3244,Lambeth,s0v4pys6lbTG
placeholder_image_2.png,3,PERSON,"(0, 0, 0)",0.807,0.302,0.851,0.452,Davis,f2734d90-cd0
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.361,0.3464,0.3935,0.3563,Lambeth,AmPWXm9UwUZu
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.6392,0.3503,0.7077,0.3706,Lambeth,0nkoW2z7Y9je
placeholder_image_2.png,3,PERSON,"(0, 0, 0)",0.0687,0.4088,0.1165,0.4202,William Blake,37KZrF30qHsv
placeholder_image_2.png,3,PERSON,"(0, 0, 0)",0.126,0.4088,0.1691,0.4202,Olive Morris,420565ee-a7e
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.3673,0.4313,0.3976,0.4421,Lambeth,VKUprepGpaVQ
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.7567,0.4629,0.7993,0.4726,for Lambeth,vGyqBehbJdZI
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.5559,0.4912,0.5861,0.5017,Lambeth,VlqLzVMoezKj
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.7569,0.4926,0.8109,0.5031,Lambeth 2030,Ko3UJGeb6OlY
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.0784,0.5094,0.1123,0.5194,Lambeth,nlEMDFKdXpEo
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.2699,0.5311,0.3026,0.5419,Lambeth,Lb0gpV526oBA
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.7089,0.5351,0.7402,0.5459,Lambeth,JFKO1rNp3Cip
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.668,0.549,0.7019,0.5604,Lambeth,HamhQ3ALWlIN
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.7652,0.5493,0.799,0.561,Lambeth,qV7fjRW1J5BP
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.3324,0.5741,0.3648,0.5841,Lambeth,pTO0R8sQc2SX
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.8764,0.6363,0.9295,0.6477,Lambeth 2030,tVUX3ks886ya
placeholder_image_2.png,3,PERSON,"(0, 0, 0)",0.377,0.642,0.416,0.791,Claire,bc59d1d0-639
placeholder_image_2.png,3,PERSON,"(0, 0, 0)",0.397,0.642,0.439,0.791,Holland,89322e52-106
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.353,0.6454,0.4001,0.6554,the Lambeth,RKEB6qLTd914
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.847,0.6651,0.8803,0.6759,Lambeth,GddlAasuP7kj
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.7873,0.693,0.844,0.7041,Lambeth 2030,hypnNaQ4Ouxp
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.3169,0.7021,0.3495,0.7127,Lambeth,z00Pp4Uzme1O
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.5475,0.7075,0.6015,0.7189,Lambeth 2030,FuUnZCC4ug0E
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.1953,0.7375,0.2264,0.7483,Lambeth,FUUYdbqPXnf4
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.3068,0.7449,0.3401,0.7557,Lambeth,rdB8PUsjPaDr
placeholder_image_2.png,3,CUSTOM_VLM_FACES,"(0, 0, 0)",0.7658,0.7839,0.8148,0.8931,[FACE],MJJGh7jLKrgu
placeholder_image_2.png,3,CUSTOM_VLM_FACES,"(0, 0, 0)",0.2653,0.7939,0.3132,0.8911,[FACE],SGyuICz0oGWn
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.7013,0.823,0.7291,0.8338,Lambeth,X3c5GxQZlHip
placeholder_image_2.png,3,CUSTOM - PERSON,"(0, 0, 0)",0.2062,0.8509,0.2377,0.8623,Lambeth,XR8MffHxNZj5
placeholder_image_2.png,3,PERSON,"(0, 0, 0)",0.7567,0.8937,0.7926,0.9048,lan Davis,5RX3ZPuSUUnu
placeholder_image_2.png,3,PERSON,"(0, 0, 0)",0.2991,0.9088,0.353,0.9188,Claire Holland,UI0S0Pey3Mhv
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.2965,0.9227,0.3292,0.9336,Lambeth,zSh4GmzR3lIv
