image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.4172,0.1959,0.6224,0.2127,University of Notre Dame,a3f02517-add
placeholder_image_0.png,1,TITLES,"(0, 0, 0)",0.7404,0.3014,0.7611,0.3182,Dr,TIaD2X8op1Ku
placeholder_image_0.png,1,TITLES - PERSON,"(0, 0, 0)",0.7404,0.3014,0.8417,0.3182,Dr David R.,PED0ABFCAwme
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.7709,0.3014,0.8417,0.3182,David R.,AZVXdxlllER3
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.1471,0.3189,0.2294,0.3356,Hyde's lab,CbqZsvNEQGWM
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.1471,0.3189,0.2006,0.3356,Hyde's,pPR1AyvHAC8t
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.2823,0.3189,0.4875,0.3356,University of Notre Dame,38ef0d1b-ab2
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.5327,0.3189,0.6041,0.3356,Hyde lab,yNhxFjjOsPtM
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.5327,0.3189,0.5752,0.3356,Hyde,FE3qxI1p6gCm
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.5826,0.3885,0.654,0.4053,Hyde lab,FuxAPbW7hQq4
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.5826,0.3885,0.6251,0.4053,Hyde,dzV1mHKSCxyh
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.1471,0.5657,0.2675,0.5825,--Lauren Lilley,DoTOLyayw4Sz
placeholder_image_0.png,1,TITLES,"(0, 0, 0)",0.1471,0.6354,0.1677,0.6522,Dr,Jtahysdi8BxU
placeholder_image_0.png,1,TITLES - PERSON,"(0, 0, 0)",0.1471,0.6354,0.2135,0.6522,Dr Poss,qHQ1XK3f98AF
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.1775,0.6354,0.2135,0.6522,Poss,cqAqB2TenFO6
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.4172,0.6703,0.6225,0.6871,University of Notre Dame,c600fb80-690
placeholder_image_0.png,1,TITLES,"(0, 0, 0)",0.7404,0.7584,0.7611,0.7752,Dr,ovactd6Fgf24
placeholder_image_0.png,1,TITLES - PERSON,"(0, 0, 0)",0.7404,0.7584,0.8417,0.7752,Dr David R.,gYUKA3Ez38TV
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.7709,0.7584,0.8417,0.7752,David R.,9m1ZyMybMNoL
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.1471,0.7758,0.2294,0.7926,Hyde's lab,TQH8gb54smlo
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.1471,0.7758,0.2006,0.7926,Hyde's,PVuRZqzv4gEn
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.2823,0.7758,0.4875,0.7926,University of Notre Dame,276cd354-136
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.5327,0.7758,0.6041,0.7926,Hyde lab,1sD2G21ISRkX
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.5327,0.7758,0.5752,0.7926,Hyde,H0MHZNhxLCP1
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.5826,0.8455,0.654,0.8623,Hyde lab,GtnuIS1JwAsu
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.5826,0.8455,0.6251,0.8623,Hyde,yojFuFpd6L9L
placeholder_image_1.png,2,PERSON,"(0, 0, 0)",0.1471,0.2163,0.2675,0.233,--Lauren Lilley,JPZxzcmz6LWP
