image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.1173,0.1861,0.2125,0.2009,Sister City,FdKRaL0wslTa
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.1318,0.2103,0.218,0.2242,Sister City,aceMbZhUFF0a
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.1173,0.2591,0.2733,0.2724,"""sister city/sister",j2ii8JyCQYb3
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.4439,0.2591,0.5224,0.2724,Sister city,YM1fNADs5HVV
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.1177,0.3005,0.1637,0.3145,Sister,iZfl78TGCKFk
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.2712,0.333,0.3171,0.3469,Sister,LO3vCKagNKPv
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.2122,0.373,0.2453,0.3869,City,KVzLgvhKMch4
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.2237,0.3968,0.2552,0.4107,City,qE3ImTddVock
placeholder_image_0.png,1,CUSTOM,"(0, 0, 0)",0.3133,0.4112,0.42,0.4255,"""Sister City""",6Xi1RlyUOn4A
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.6036,0.429,0.6496,0.443,Sister,4pQwAUA4iSmD
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.2902,0.4453,0.3217,0.4592,City,uqQtLcH8UgzO
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.1747,0.469,0.2207,0.483,Sister,QNwUpvDss3Zg
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.1692,0.4928,0.2152,0.5068,Sister,ekUeI72QfM6o
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.5413,0.4928,0.5845,0.5068,sister,22fncUxDgr8V
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.7172,0.5415,0.7632,0.5554,Sister,9z2bsj57TW4W
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.552,0.5738,0.598,0.6039,Sister city,2Jv4DO0Bbsau
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.4551,0.6948,0.5005,0.8782,sister city,yxweOh9eX4UI
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.4551,0.6948,0.4984,0.7088,sister,beHJzTGK3vbL
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.2463,0.7271,0.2921,0.741,Sister,bYmd5tE22Zbn
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.7739,0.7433,0.8199,0.7573,Sister,D4waQKteD2H8
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.5791,0.8158,0.6074,0.8297,city,AaLEtjlp4DQn
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.1772,0.832,0.2205,0.8459,sister,ej3945NPo2Pw
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.539,0.8481,0.5849,0.862,Sister,P97Vo0qsvnjN
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.4722,0.8643,0.5005,0.8782,city,3hNMi7JhCJwC
placeholder_image_0.png,1,sister_city,"(0, 0, 0)",0.6345,0.8643,0.6805,0.8782,Sister,s1trJRXdWvQQ
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.1757,0.1482,0.2584,0.1618,sister city,UaNkLlM2Og8X
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.4173,0.1712,0.4996,0.1861,sister city,KbXrx9Ys1lUS
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.7027,0.1879,0.7845,0.2018,sister city,yMHk6aZuJLpx
placeholder_image_1.png,2,sister_city,"(0, 0, 0)",0.3931,0.1895,0.4213,0.2034,city,d5oeNDX9KWk6
placeholder_image_1.png,2,sister_city,"(0, 0, 0)",0.7939,0.1895,0.8477,0.2196,Sister city,5OyV1Syt5RXV
placeholder_image_1.png,2,sister_city,"(0, 0, 0)",0.153,0.2219,0.199,0.2358,Sister,PTiy4jMDIMp2
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.1412,0.237,0.2369,0.2503,sister city,p7v8PvMHeH1F
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.2365,0.3233,0.438,0.3382,sister city/county/state,bFlTKALZ9qj4
placeholder_image_1.png,2,sister_city,"(0, 0, 0)",0.675,0.3254,0.7208,0.3394,Sister,iTggrCu0zQzI
placeholder_image_1.png,2,sister_city,"(0, 0, 0)",0.4632,0.374,0.4915,0.388,city,Q2XXJrlMojrY
placeholder_image_1.png,2,sister_city,"(0, 0, 0)",0.2531,0.3901,0.2911,0.404,city);,CzmydsnNy4WY
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.3451,0.4209,0.431,0.4352,sister city,30A8Zrs9x7Fm
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.2643,0.4373,0.3478,0.4518,sister city,zih8cv5vShCD
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.4604,0.46,0.578,0.4748,"""Sister City",haxNEhzEXg6v
placeholder_image_1.png,2,CUSTOM,"(0, 0, 0)",0.4808,0.7173,0.5667,0.7306,sister city,QQVVi6QUAJIi
placeholder_image_1.png,2,sister_city,"(0, 0, 0)",0.3531,0.8749,0.3813,0.8888,city,gEFWAbWvUyDs
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.2184,0.2233,0.3059,0.237,sister city,OjSGwHMfyeNt
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.231,0.2394,0.3192,0.2539,sister city,aPkHCKjpt6F5
placeholder_image_2.png,3,sister_city,"(0, 0, 0)",0.7472,0.2867,0.7755,0.3007,city,wvl7oaF7JmPB
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.5322,0.3018,0.6188,0.3158,Sister city,ivBu6X8vkAnH
placeholder_image_2.png,3,sister_city,"(0, 0, 0)",0.1765,0.3194,0.2047,0.3333,city,zzVP03nx8oQT
placeholder_image_2.png,3,sister_city,"(0, 0, 0)",0.4288,0.3487,0.457,0.3627,city,PlzIPfgFMDq1
placeholder_image_2.png,3,sister_city,"(0, 0, 0)",0.5669,0.3812,0.6129,0.3951,Sister,Gn3Yoql2Fb3j
placeholder_image_2.png,3,sister_city,"(0, 0, 0)",0.372,0.4565,0.4002,0.4704,city,zUGvUEnu2gyF
placeholder_image_2.png,3,sister_city,"(0, 0, 0)",0.5462,0.5804,0.6789,0.6106,Sister City,otRmiV1Gjmn5
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.3333,0.6397,0.4208,0.6536,sister city,OMSsIlZWjN7z
placeholder_image_2.png,3,CUSTOM,"(0, 0, 0)",0.3486,0.6724,0.4549,0.6864,sister city,RyzhuWCgr8xb
placeholder_image_2.png,3,EMAIL_ADDRESS,"(0, 0, 0)",0.4431,0.7824,0.6482,0.7958,akaplan@sister-cities.org,hbvRQrid54n9
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.8051,0.7824,0.8387,0.7958,( 202,hpfvVw5PzHGR
placeholder_image_2.png,3,PHONE_NUMBER,"(0, 0, 0)",0.1173,0.7988,0.1894,0.8109,347-8630,1K7c0KJGOFu7
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.2533,0.5248,0.3353,0.5373,Sister City,du8aHSGMgezJ
placeholder_image_3.png,4,CUSTOM,"(0, 0, 0)",0.6655,0.6906,0.7427,0.7024,Sister City,9NBemU03i9P1
placeholder_image_3.png,4,CUSTOM_VLM_SIGNATURE,"(0, 0, 0)",0.6937,0.7536,0.9051,0.7958,[SIGNATURE],OX1bsqGXyafA
placeholder_image_3.png,4,CUSTOM_VLM_SIGNATURE,"(0, 0, 0)",0.3463,0.7627,0.4282,0.7988,[SIGNATURE],l5R5IksGs1gE
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.7282,0.8048,0.7706,0.8176,Lee,A62tjLdxlMYk
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.3192,0.8058,0.6129,0.8185,Mohammed bin Butti Al Hamed,fYbBfPbvk0dZ
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.4263,0.3524,0.5733,0.3694,LONDON,JIyUoICo3wXL
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.4263,0.3524,0.7078,0.3694,CITY-LONDON SISTER CITY,I5uTADfTTQrc
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.5733,0.3524,0.7078,0.3694,SISTER CITY,OXUQtebGHq31
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.2365,0.4012,0.3271,0.4158,Sister City,nnPsuKovwflu
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.6553,0.4012,0.7204,0.4158,London,4tGgSgsgLBEF
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.3486,0.4318,0.4388,0.4473,Sister City,0AQs2mRrPEzJ
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.6655,0.4791,0.7522,0.4948,London,bd7Nf3WWIbCr
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.6176,0.6382,0.7043,0.6542,London,BmrbGLyw138p
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.3192,0.6724,0.4067,0.6858,Sister City,INiPRmb6OUkW
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.1976,0.7173,0.262,0.7327,London,dnfeY8do9voz
placeholder_image_4.png,5,CUSTOM_VLM_SIGNATURE,"(0, 0, 0)",0.1761,0.7858,0.4694,0.8927,[SIGNATURE],nIa4wAHxh9wA
placeholder_image_4.png,5,CUSTOM_VLM_SIGNATURE,"(0, 0, 0)",0.6157,0.8079,0.8941,0.9148,[SIGNATURE],0XVHf3QL2iHJ
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.671,0.8767,0.8039,0.8903,Ken Livingstone,nyQagkuMC0a5
placeholder_image_4.png,5,CUSTOM,"(0, 0, 0)",0.7008,0.9088,0.7651,0.9218,London,7bBmsOA4IRB8
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.3247,0.307,0.5047,0.3397,Sister City,hslkmRoCEcDE
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.2561,0.503,0.3369,0.5142,"""Sister City",F6bTBhDTmug5
placeholder_image_5.png,6,CUSTOM,"(0, 0, 0)",0.2922,0.6442,0.362,0.6564,Sister City,XEDpPo7vnnYP
placeholder_image_5.png,6,CUSTOM_VLM_SIGNATURE,"(0, 0, 0)",0.5486,0.6936,0.7329,0.7306,[SIGNATURE],0YM40swyX5kf
placeholder_image_5.png,6,CUSTOM_VLM_SIGNATURE,"(0, 0, 0)",0.4976,0.7658,0.682,0.8218,[SIGNATURE],oG3pKMYiIDpZ
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.5616,0.8233,0.771,0.8382,Jorge O . Zambrano Cedeño,93QADaGRITCt
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.5553,0.2133,0.7322,0.227,RICHARD M . DALEY,1J9kbc3y7CzB
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.5655,0.2597,0.7247,0.273,ZHANG RONGMAO,ZyQoT7w1vZzC
placeholder_image_6.png,7,CUSTOM,"(0, 0, 0)",0.6212,0.3621,0.6984,0.3782,sister city,XEp9GsEmrBTT
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.1992,0.4103,0.3324,0.4258,Richard M . Daley,NBUw9eMcDOBj
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.62,0.4103,0.8652,0.4258,the Honorable Zhang Rongmao,MZEyYEycK9As
placeholder_image_6.png,7,CUSTOM_VLM_SIGNATURE,"(0, 0, 0)",0.5945,0.7479,0.8125,0.807,[SIGNATURE],800tqEwOQ38z
placeholder_image_6.png,7,CUSTOM_VLM_SIGNATURE,"(0, 0, 0)",0.158,0.7497,0.5263,0.8136,[SIGNATURE],74RbyQm20RKe
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.3373,0.8188,0.5012,0.8345,RICHARD M . DALEY,p3v8dDFbn3Q4
placeholder_image_6.png,7,PERSON,"(0, 0, 0)",0.7345,0.8188,0.8769,0.8324,ZHANG RONGMAO,qoep4zgDXrmi
