image,page,label,color,xmin,ymin,xmax,ymax,text,id
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.1519,0.092,0.2314,0.1094,John Doe,qz6nwSCm0KV4
placeholder_image_0.png,1,PERSON,"(0, 0, 0)",0.1978,0.1916,0.2334,0.209,Doe,yDbgnROhoNz7
placeholder_image_1.png,2,PERSON,"(0, 0, 0)",0.2212,0.5095,0.3155,0.5269,Jane Smith,3YuLSgo8XulZ
placeholder_image_1.png,2,PHONE_NUMBER,"(0, 0, 0)",0.1891,0.5296,0.3115,0.547,01234 567890,8gu4GcDpSGtp
placeholder_image_1.png,2,EMAIL_ADDRESS,"(0, 0, 0)",0.1831,0.5498,0.5092,0.5672,jane.smith@springfieldcouncil.gov.uk,oW7bcAVuQoua
placeholder_image_1.png,2,PERSON,"(0, 0, 0)",0.1534,0.6791,0.2775,0.6965,Robert Brown,8rBORBiPnkHg
placeholder_image_1.png,2,PHONE_NUMBER,"(0, 0, 0)",0.1861,0.7799,0.3084,0.7973,01234 567891,yA6kWsRfjIIX
placeholder_image_1.png,2,EMAIL_ADDRESS,"(0, 0, 0)",0.1801,0.8,0.5274,0.8174,robert.brown@springfieldcouncil.gov.uk,rfzTNSptJDIL
placeholder_image_2.png,3,PERSON,"(0, 0, 0)",0.1519,0.092,0.2314,0.1094,John Doe,d1O8IxqOpMfF
placeholder_image_2.png,3,PERSON,"(0, 0, 0)",0.1978,0.1916,0.2334,0.209,Doe,ZshF4CRKLUqo
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.2212,0.5095,0.3155,0.5269,Jane Smith,kCNWxGZDswH8
placeholder_image_3.png,4,PHONE_NUMBER,"(0, 0, 0)",0.1891,0.5296,0.3115,0.547,01234 567890,L9lGpyKX7PgL
placeholder_image_3.png,4,EMAIL_ADDRESS,"(0, 0, 0)",0.1831,0.5498,0.5092,0.5672,jane.smith@springfieldcouncil.gov.uk,SSMXAxkyNJAe
placeholder_image_3.png,4,PERSON,"(0, 0, 0)",0.1534,0.6791,0.2775,0.6965,Robert Brown,b06x7UKpTbWU
placeholder_image_3.png,4,PHONE_NUMBER,"(0, 0, 0)",0.1861,0.7799,0.3084,0.7973,01234 567891,erOH1mjB543B
placeholder_image_3.png,4,EMAIL_ADDRESS,"(0, 0, 0)",0.1801,0.8,0.5274,0.8174,robert.brown@springfieldcouncil.gov.uk,QUdH8ByDkpud
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.1519,0.092,0.2314,0.1094,John Doe,B5VOCzPobxOL
placeholder_image_4.png,5,PERSON,"(0, 0, 0)",0.1978,0.1916,0.2334,0.209,Doe,r2ehGjBBtfjN
placeholder_image_5.png,6,PERSON,"(0, 0, 0)",0.2212,0.5095,0.3155,0.5269,Jane Smith,cmi6PVnw4Yuv
placeholder_image_5.png,6,PHONE_NUMBER,"(0, 0, 0)",0.1891,0.5296,0.3115,0.547,01234 567890,JWBD9Ds1ZGIr
placeholder_image_5.png,6,EMAIL_ADDRESS,"(0, 0, 0)",0.1831,0.5498,0.5092,0.5672,jane.smith@springfieldcouncil.gov.uk,uqr7BXN9k1a5
