image,page,label,color,xmin,ymin,xmax,ymax,text,id
/tmp/gradio/a5e3b0735b24a175ed788c08c2bf56cf45af9e897b37becef8570467df007b2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.2861,0.0155,0.7097,0.0541,SURPRISE AND QUICK ACTION .,La8xTxcJWNwT
/tmp/gradio/a5e3b0735b24a175ed788c08c2bf56cf45af9e897b37becef8570467df007b2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.2708,0.0644,0.7167,0.1095,"Three prongs , attacking at four lights .",cVCvNb0QOA7b
/tmp/gradio/a5e3b0735b24a175ed788c08c2bf56cf45af9e897b37becef8570467df007b2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.0431,0.0696,0.2194,0.1095,Method of attack :,sIL8WiVjWtZt
/tmp/gradio/a5e3b0735b24a175ed788c08c2bf56cf45af9e897b37becef8570467df007b2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.2708,0.1147,0.7569,0.1534,First prong BRIDGEHEAD AT REINE,uWBeLujgYNfH
/tmp/gradio/a5e3b0735b24a175ed788c08c2bf56cf45af9e897b37becef8570467df007b2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.275,0.1572,0.9097,0.2075,ASSAULT there and occupy rest of land joining,xMBlOy6dBj9V
/tmp/gradio/a5e3b0735b24a175ed788c08c2bf56cf45af9e897b37becef8570467df007b2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.2708,0.1997,0.8083,0.2461,Peninsula with main portion of island .,MtwoKMzSyGcJ
/tmp/gradio/a5e3b0735b24a175ed788c08c2bf56cf45af9e897b37becef8570467df007b2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.2708,0.2461,0.9514,0.2912,"DESTROY all COMMUNICATIONS , telephone wires etc",GL8b4xcRWBZn
/tmp/gradio/a5e3b0735b24a175ed788c08c2bf56cf45af9e897b37becef8570467df007b2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.2611,0.2848,0.6417,0.3286,and occupy POST OFFICE,HBU5cTThsbN7
/tmp/gradio/a5e3b0735b24a175ed788c08c2bf56cf45af9e897b37becef8570467df007b2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.2681,0.3273,0.8458,0.3724,Spread out with bridgehead and occupy town,4CSOEheR8xhp
/tmp/gradio/a5e3b0735b24a175ed788c08c2bf56cf45af9e897b37becef8570467df007b2a/Difficult handwritten note.jpg,1,Redaction,"(0, 0, 0)",0.2569,0.375,0.975,0.4201,SECOND PRONG At Summ to cut line of communication at,LMpvq9juooEs
